target,mean,lo,hi
1.9204314,1.8429245,1.4035462,2.3058002
1.7510315,2.048697,1.5422575,2.575833
2.423092,2.2992897,1.6605035,2.9216871
2.5572138,1.9797695,1.4201912,2.4771075
2.1662588,2.0890582,1.4542261,2.561739
2.0032463,2.126441,1.7361518,2.6567135
2.1060495,2.108172,1.5149012,2.640202
1.8610089,1.9669802,1.511563,2.4258392
1.6139379,2.0227935,1.5357038,2.5412433
1.6778843,1.7192415,1.3159807,2.0739086
1.9533806,2.0601096,1.3799399,2.5954275
1.7809042,2.006621,1.4526442,2.4569733
1.7422769,2.1391158,1.6191134,2.758913
2.0141656,2.4498348,1.9694315,2.9323106
1.9264095,2.1432834,1.7033378,2.7540123
1.9422853,1.7585044,1.3427229,2.121699
1.8380175,1.599486,1.1920356,2.072611
1.6480135,1.6928178,1.0280358,2.2446725
2.0006354,2.4129598,1.9249392,2.915877
1.7122592,1.853779,1.350901,2.3081353
1.9334158,1.8040658,1.2758726,2.350558
2.0099993,1.9229436,1.2356163,2.4477293
1.8335596,1.9167322,1.4896148,2.2794588
1.8629055,1.8308326,1.1097044,2.377379
2.1171236,1.6726971,1.015051,2.2694006
2.1427596,1.7061833,1.191332,2.235961
2.0236466,1.8860707,1.398449,2.4405932
2.052623,1.9188914,1.447761,2.3754947
1.8655419,2.0074084,1.5202726,2.387885
1.799222,1.9739441,1.4501541,2.4940634
1.5750288,1.9214017,1.3176714,2.6025555
2.364213,2.3714778,1.9419947,2.8336644
1.8592469,2.0407596,1.534289,2.5987222
1.8302565,2.1352327,1.6179836,2.5964353
2.6801333,3.3331547,2.8843424,3.8090181
2.4131842,2.8047588,2.2267895,3.4478106
2.2520049,2.460795,1.792195,3.0172555
2.1052828,2.0620527,1.4099821,2.7318218
1.7797103,1.4327031,1.0085415,1.915104
1.6180053,1.6105808,1.0679557,2.1079953
3.675173,2.9804142,2.3805678,3.4992523
2.5232282,3.1284835,2.624413,3.590348
2.4070764,2.514835,1.9922142,2.9684606
2.2510755,2.2697084,1.8295807,2.741051
2.2484508,2.3057482,1.8405367,2.788926
2.2667246,2.235027,1.714761,2.5686686
2.1458123,2.0494094,1.6023352,2.605973
1.8099726,1.8036549,1.2749482,2.3526797
1.5968282,1.9885846,1.4452235,2.5505142
2.3819017,2.3228223,1.8303429,2.7818384
2.3584185,2.0999603,1.4653093,2.5415366
2.3181581,2.1648827,1.5964726,2.7412267
2.1770003,2.021494,1.6429849,2.3595355
2.1839721,2.0106356,1.6369698,2.518535
1.7455275,1.855962,1.3628658,2.3171647
1.5179192,2.009545,1.4107957,2.4960325
1.6128894,1.8078343,1.2305617,2.448621
1.5669091,1.8796116,1.2512331,2.3977346
1.6865349,2.220881,1.6624244,2.6889238
1.7933706,1.7624979,1.2658474,2.15161
1.6967812,1.4521722,1.0017793,1.9738475
1.4625274,1.2672132,0.7017703,2.0290248
1.4173154,1.3847017,0.7280613,1.9116338
2.1665165,2.6478717,2.1761117,3.4363174
2.0307813,2.079764,1.5861114,2.5936885
1.8204277,1.9576797,1.3781415,2.3068993
1.9226737,1.9591115,1.2577842,2.485058
1.9969093,1.9534742,1.477424,2.5212152
1.9356399,1.7532717,1.23734,2.3002644
1.7255895,1.684507,1.2198917,2.227517
1.5911896,1.7877191,1.1332092,2.5097077
2.182338,1.9704971,1.4744918,2.406905
2.0004275,1.86178,1.288236,2.574373
2.0494986,1.8559171,1.2808846,2.3744452
2.034253,1.9509822,1.4441577,2.5900025
2.046587,1.8464046,1.42692,2.3379455
1.8694556,1.7758043,1.3132331,2.2656505
1.6424208,1.9664667,1.4744934,2.4418685
1.5198015,1.556578,1.0774807,1.9129468
2.1767561,1.9449295,1.4009864,2.4404962
1.4771063,1.3955883,0.8618783,1.8728423
1.6190454,1.431804,0.98803204,2.0092049
2.5486002,2.658849,2.195405,3.196182
2.277262,2.6119015,1.9518079,3.1072783
2.3968756,2.5667124,1.9519775,3.086789
2.2315152,1.9722927,1.4471927,2.6245947
1.796021,1.6857835,1.26325,2.2393618
1.3245343,1.7931846,1.2286204,2.4032974
2.290725,2.3558116,1.7447424,2.9827611
2.2255943,2.2096622,1.6994185,2.6890593
2.3762517,2.23104,1.7750378,2.6454823
2.3726082,2.0575817,1.4840808,2.5342016
1.8008163,1.7433044,1.2548683,2.252987
1.265287,1.8394597,1.3032063,2.42695
1.4809259,1.9537506,1.336629,2.4077191
1.7597475,2.1196227,1.4755459,2.6651907
1.9299989,2.1282163,1.5991895,2.584081
1.6267723,1.5858616,1.1823531,2.0313272
1.5618169,1.5639788,0.88295275,2.2166092
2.0424855,2.4183834,1.7603831,2.9547
2.034514,2.4577038,1.8129454,2.964156
1.9247459,1.8155732,1.2661287,2.6551604
1.5966417,1.8016481,1.067011,2.3777077
2.2221694,2.3040953,1.6119868,3.120818
2.177288,2.345697,1.8132602,2.8839312
2.2686882,2.228807,1.9091536,2.849904
1.8333769,1.7952745,1.4884229,2.351861
1.4016793,1.9296433,1.5141115,2.3558435
1.0554264,1.5615038,1.1149312,1.9806325
1.6734809,1.5294582,1.0459975,1.9974678
1.7970262,2.141694,1.6471473,2.4740076
2.2632377,1.9893018,1.366651,2.5780323
1.8599885,1.7395933,1.2951413,2.2321754
1.9861186,1.9733255,1.6112432,2.6390402
1.7490393,2.0014482,1.5222474,2.522596
1.7350055,1.9772689,1.3827704,2.3913147
2.2522664,2.482901,1.9989345,3.0726264
2.062471,2.178735,1.6448903,2.63073
1.8461959,1.9625365,1.4814819,2.4553828
1.6997719,1.5622926,1.136821,2.0230362
1.6353811,1.6000751,1.2346292,1.9997492
2.267165,2.7326486,2.1827896,3.3053367
2.4360807,2.3058898,1.7755783,2.7719276
2.2659588,2.0361671,1.4697776,2.461889
1.8485438,1.9875867,1.2526971,2.500353
1.9555634,2.0408745,1.604396,2.5235891
1.8893461,1.8959979,1.2503066,2.6346884
2.26516,2.0665689,1.5442051,2.522917
2.0500343,2.0125697,1.6754364,2.4126387
2.0047426,1.9971932,1.3899423,2.5701716
1.8323895,2.0570822,1.5106115,2.5054328
1.8626575,1.8648753,1.2586045,2.5044267
1.7501307,2.5529702,2.126635,3.0990582
1.6118611,2.0214972,1.6007932,2.6086025
2.929037,3.6299424,3.131788,4.240546
2.9857805,3.3313694,2.7675545,3.8368657
2.8606668,3.3602653,2.757359,3.9695444
2.2080362,2.2205372,1.5518508,2.7996764
1.845745,2.290195,1.79981,2.7419856
