target,mean,lo,hi
1.7510315,1.7206345,1.1754483,2.2927957
2.423092,2.55795,1.815424,3.260109
2.5572138,2.3840897,1.8733957,2.721997
2.1662588,2.4379647,1.6627024,3.0435658
2.0032463,2.515901,2.077339,3.0194411
2.1060495,2.2045467,1.7384949,2.6091123
1.8610089,1.855435,1.3129419,2.274311
1.6139379,1.8017461,1.3045722,2.356734
1.6778843,1.9348125,1.3438764,2.4611626
1.9533806,2.216374,1.4371927,2.7221138
1.7809042,1.8039956,1.3747344,2.2077825
1.7422769,1.843263,1.2075588,2.505262
2.0141656,2.53251,1.9844482,2.984672
1.9264095,2.4536834,1.8759626,2.830159
1.9422853,2.0537138,1.654958,2.5099132
1.8380175,1.7086931,1.1965159,2.176793
1.6480135,1.7852434,1.0653435,2.2922344
2.0006354,2.2539494,1.6425797,2.7690578
1.7122592,1.899392,1.2105131,2.4496067
1.9334158,2.1047146,1.5417781,2.555527
2.0099993,1.7270994,1.0183675,2.3395953
1.8335596,1.6737064,1.0598963,2.338736
1.8629055,2.0920043,1.594414,2.4921005
2.1171236,1.9541569,1.4801505,2.4431667
2.1427596,2.001692,1.5437934,2.5237005
2.0236466,2.096777,1.5887299,2.7260728
2.052623,1.8984774,1.3463967,2.4077392
1.8655419,1.7041645,1.1868387,2.2549417
1.799222,1.6434082,1.1777894,2.1195965
1.5750288,1.6125364,1.1418844,2.2758288
2.364213,2.4577367,1.9383669,3.0357735
1.8592469,2.0133057,1.5595878,2.3932421
1.8302565,2.0146983,1.3891482,2.7146597
2.6801333,3.3408961,2.7590132,3.8184419
2.4131842,3.1208189,2.6696157,3.6964567
2.2520049,2.8686943,2.1642272,3.4201639
2.1052828,2.393416,2.0086038,2.8788025
1.7797103,1.9230988,1.3862139,2.5623493
1.6180053,1.8022873,1.3064955,2.4223201
3.675173,2.3904788,1.8807534,2.9532428
2.5232282,2.7968466,2.2300653,3.3574758
2.4070764,2.6205432,2.0863373,3.2774065
2.2510755,2.4162517,1.9103469,3.0439723
2.2484508,2.2678082,1.7359941,2.9656813
2.2667246,2.323019,1.5281576,2.9280016
2.1458123,2.0124967,1.5900164,2.5017056
1.8099726,1.6675662,1.0129893,2.3071306
1.5968282,1.5889604,0.8126582,2.303814
2.3819017,2.5092986,1.8027713,3.123684
2.3584185,2.3313782,1.8529272,2.763229
2.3181581,2.348677,1.8976078,2.9007356
2.1770003,2.4067125,1.8497738,2.98534
2.1839721,2.0551403,1.56106,2.7020457
1.7455275,1.7911947,1.0934854,2.2968602
1.5179192,1.6801362,1.1945145,2.2953303
1.6128894,1.6985149,1.0899718,2.2795048
1.5669091,2.037614,1.5507077,2.6140122
1.6865349,2.4624739,1.9193641,3.1631691
1.7933706,2.3374867,1.866418,2.7903974
1.6967812,2.0546706,1.5472,2.5956671
1.4625274,1.7097123,1.296418,2.1489286
1.4173154,1.760638,1.1836826,2.3565438
2.1665165,2.6020672,2.0317452,3.2921307
2.0307813,2.3284535,1.8773359,2.8860617
1.8204277,2.1469314,1.5773526,2.7688875
1.9226737,1.9837381,1.409776,2.5231557
1.9969093,1.9599793,1.4116325,2.5153682
1.9356399,1.7198753,1.1553216,2.2996473
1.7255895,1.541208,0.73961747,2.0782733
1.5911896,1.6007389,1.0400549,2.153059
2.182338,2.2662327,1.6111784,2.792057
2.0004275,2.0946565,1.6724446,2.548961
2.0494986,1.969397,1.4937631,2.4578342
2.034253,2.1547203,1.5524898,2.6985946
2.046587,1.8468415,1.3873489,2.3020513
1.8694556,1.6299393,1.050601,2.3347707
1.6424208,1.6372108,0.9240004,2.153326
1.5198015,1.5824851,1.044117,1.9772791
2.1767561,2.386484,1.9272735,2.8260674
1.4771063,1.8796552,1.3496894,2.2604616
1.6190454,1.6929201,1.2591348,2.2047522
2.5486002,2.7183015,2.2688506,3.1720996
2.277262,2.4354916,1.9035952,3.0550842
2.3968756,2.4389296,1.8065832,2.969374
2.2315152,2.0772176,1.5530355,2.569335
1.796021,1.6082139,1.145858,2.1207552
1.3245343,1.7740291,1.2609289,2.4134235
2.290725,2.6920261,2.220456,3.2154725
2.2255943,2.4773433,1.9179326,3.025977
2.3762517,2.4612713,1.8930221,3.0087075
2.3726082,2.5502808,2.010922,3.070142
1.8008163,1.9490302,1.4100822,2.422481
1.265287,1.7315389,0.8579505,2.3017473
1.4809259,1.9242346,1.3422934,2.5196695
1.7597475,1.8828133,1.3115541,2.327209
1.9299989,2.3673258,1.654509,2.9779246
1.6267723,1.8425801,1.361216,2.2546566
1.5618169,1.8754278,1.3851321,2.4626417
2.0424855,2.535452,2.043409,3.1257792
2.034514,2.3609574,1.9179744,2.9260983
1.9247459,1.6570113,1.2298746,2.2304523
1.5966417,1.7861367,1.2869183,2.4056928
2.2221694,2.4654758,1.878204,2.9911878
2.177288,2.2559845,1.6306787,2.706823
2.2686882,2.3770535,1.8540804,2.7190232
1.8333769,1.7210815,1.133729,2.3235323
1.4016793,1.6479104,1.0866692,2.2225974
1.0554264,1.6567377,1.105502,2.1763237
1.6734809,1.6948211,1.212271,2.1918566
1.7970262,1.7083268,1.043225,2.3962686
2.2632377,2.2110229,1.6662546,2.7787392
1.8599885,1.7959709,1.3556283,2.4723232
1.9861186,2.1127205,1.7181444,2.5805473
1.7490393,1.7837801,1.2314591,2.341646
1.7350055,1.8042548,1.296275,2.2248642
2.2522664,2.7537248,2.0232074,3.4375727
2.062471,2.6161766,2.1013796,3.1419888
1.8461959,2.3572667,1.8790886,2.849907
1.6997719,1.7298349,1.1873975,2.3433897
1.6353811,1.7338829,1.1474872,2.2644656
2.267165,2.4993067,1.9028594,3.2259896
2.4360807,2.329565,1.9493632,2.8612459
2.2659588,2.2322323,1.6982154,2.9616141
1.8485438,2.0704632,1.6034111,2.5612628
1.9555634,1.7437035,1.1709116,2.2445378
1.8893461,1.66867,1.0332199,2.197626
2.26516,2.1742725,1.7022817,2.875809
2.0500343,1.9333566,1.2940621,2.3239324
2.0047426,1.7825769,1.2144134,2.3354294
1.8323895,1.6051525,1.048313,2.1466937
1.8626575,1.652425,1.1627644,2.3296554
1.7501307,3.1775107,2.6184149,3.8284092
1.6118611,2.1609454,1.6848357,2.7216861
2.929037,3.5414608,3.070192,4.161454
2.9857805,3.2113059,2.8168073,3.6742775
2.8606668,3.1614976,2.5755174,3.9253058
2.2080362,2.1393285,1.5972141,2.647201
1.845745,2.0510676,1.5086418,2.4472947
2.9600613,3.0683897,2.6140735,3.8241792
2.3381743,2.1135662,1.5929108,2.7139342
2.2047114,2.0501423,1.5514538,2.5136733
1.8842033,2.1103306,1.7760583,2.603967
2.3395042,3.1477563,2.6022673,3.659816
2.204261,2.6599958,2.261059,3.196672
2.340111,2.4384496,1.967493,2.8467095
2.1141343,2.2954562,1.7466325,2.7184255
1.7140267,1.5360748,0.97742546,2.0385854
2.9253163,2.6661012,2.2309656,3.2532856
2.3477094,2.4375172,1.7198883,3.0404327
2.5391185,2.3906605,1.8707854,2.8512664
1.6112733,1.7039531,1.2809463,2.201029
1.7023233,1.9649704,1.4917051,2.4803119
1.420778,1.6387373,1.1158329,2.194651
1.3655324,1.6714796,1.1735677,2.0824904
2.415806,1.5681171,1.0408387,2.141466
1.8887825,1.626804,1.1733062,2.0825136
1.3552196,1.4820939,0.91496223,1.9796307
1.3740602,1.2558324,0.70066047,1.8918841
1.3521619,1.2988052,0.7341288,1.8567057
1.5264171,1.9551579,1.4677022,2.4448888
1.441046,1.8512166,1.1624572,2.3763146
1.566901,1.6500739,1.0742612,2.3275948
1.4081566,1.5525632,1.0393469,1.9546523
1.2630668,1.2931628,0.7352895,1.6611605
1.2599078,1.4185922,0.85456,2.047435
1.7094834,1.8394773,1.274763,2.384986
1.7959318,1.7308195,1.3112779,2.2654357
1.7593434,1.7640548,1.2014073,2.2875528
1.714783,1.5797374,1.00248,2.2788172
1.6843638,1.5169253,0.8494035,2.1935987
1.7736217,1.4061328,0.83889157,1.8851348
1.453085,1.3518163,0.953277,1.8061144
1.4009811,1.3138467,0.8691468,2.0595543
1.622746,1.7732148,1.2518152,2.2678053
2.090092,1.6943024,1.1901071,2.2488651
1.9528714,1.5706264,1.1024655,2.1048908
1.8108695,1.58686,1.1428132,2.1454535
1.7636223,1.5603069,1.0296144,2.0714493
1.4551153,1.3716286,0.7689015,1.9420351
1.2704881,1.3770326,0.628344,1.9546481
1.1984516,1.4875888,1.0270528,1.96575
1.6915694,1.9351355,1.3443444,2.4930544
1.5219922,1.6418586,1.1156768,2.113892
1.4690487,1.6600809,1.0323554,2.2442508
2.2151563,2.6201692,2.0984561,3.0286663
1.9794114,2.2846847,1.7091463,2.9904392
1.9005781,2.1149466,1.5343515,2.699031
1.7050498,1.8126622,1.4282435,2.213948
1.635195,1.555894,1.0888989,2.0179262
1.6102817,1.5487999,1.136558,2.0791366
1.7257216,2.2899325,1.6177561,2.784195
1.8575035,2.0785382,1.4852945,2.6023111
1.9509691,1.8909777,1.3019738,2.6033547
1.992856,1.7812645,1.0596309,2.4497857
1.9806659,1.8584219,1.390848,2.4014893
2.0565572,1.689637,1.099767,2.1530325
1.725294,1.4827467,0.97031385,1.96488
1.5764804,1.4847931,0.77043957,2.08694
1.5046049,2.1608799,1.6311138,2.6937325
1.7412038,1.9228958,1.4701391,2.4829583
1.9649774,1.5445008,1.0815395,2.0302024
1.5226324,1.5307914,1.0333395,2.0355773
1.4926031,1.6266812,0.91073734,2.1162374
0.83307266,1.0005062,0.4317271,1.5228467
1.4330413,1.6249642,1.1574477,2.187917
1.4289101,1.2249141,0.6140409,1.9263854
1.189059,1.2207451,0.7256362,1.7109858
2.045771,2.3818755,1.7264663,3.0947416
1.7044238,2.1716661,1.5796674,2.626086
1.5304615,1.8768215,1.3012345,2.4779427
1.3753499,1.7697443,1.0683969,2.2879095
1.5424125,1.2859758,0.68211627,1.9617854
1.2875199,1.3837396,0.8934295,1.7541392
2.8530645,2.3007581,1.8614962,2.696349
2.1789906,2.0654285,1.4936619,2.47659
1.4338324,1.9582762,1.3999959,2.5243244
1.6011693,1.7680316,1.2610147,2.4380531
1.643574,1.7940277,1.2666768,2.3498402
1.6501205,1.4467367,1.0071323,1.9510367
1.429468,1.3999503,0.71147716,1.8769363
1.2258357,1.3982134,0.7318272,1.9818459
1.1284068,2.0150058,1.4783916,2.492666
1.3760762,1.9608799,1.4171169,2.588245
1.4144907,1.8429203,1.1931251,2.4117658
1.4653004,1.9104089,1.3376681,2.445725
1.4513769,1.7406001,1.2238814,2.08976
1.2667735,1.4189253,0.9602028,2.0907102
1.1723866,1.5162953,0.99453634,2.2947116
1.1139294,1.551514,1.0996583,2.0888393
0.868674,1.3911602,1.0372746,1.8114544
2.0212722,2.4963877,2.0455914,2.8054874
1.5956626,2.2225468,1.7896917,2.6696975
1.6050767,2.0748682,1.6154838,2.3984551
0.97840536,1.3521537,0.7277465,1.9743267
2.289383,2.13364,1.5508138,2.5650835
1.4879586,1.957806,1.3775995,2.4353907
1.5513692,1.8025203,1.2798753,2.2920964
1.1756305,1.4343508,0.9295575,1.9764457
0.99435616,1.4844756,1.0626432,2.0131521
1.164666,1.5894014,1.0020416,2.0384436
1.0940974,1.180291,0.74632597,1.6152272
1.1067027,1.2938086,0.8144037,1.7932355
1.8036748,2.3734653,1.960404,2.8498483
1.5933839,2.2194357,1.7502195,2.7678182
1.752171,1.8789704,1.4015926,2.4881465
1.6281022,1.6799489,1.0308759,2.245018
1.503488,1.2727371,0.85838455,1.5748101
1.5085266,1.3056813,0.80081975,1.783892
