,RMSE,MAE,CRPS,Coverage90,Width90
Support-aware,0.3815849219836347,0.28486582702994495,0.20885814455818122,0.8668012108980827,1.1168615818023682
Centroid-trained PostAgg,0.48290842087393304,0.35798057962489493,0.2655343814656267,0.8027245206861756,1.1509037017822266
