fold,mode,station,target,pred
1,support,WE4,2.584752,1.0207115
1,support,WE4,1.6014057,0.87884784
1,support,WE4,1.9257075,0.9603275
1,support,WE4,1.5173227,1.1611074
1,support,WE4,3.3046865,2.2391636
1,support,WE4,1.286474,1.6258947
1,support,WE4,2.3233676,1.8936057
1,support,WE4,4.7934737,1.7466393
1,support,WE4,1.7316556,1.3523705
1,support,WE15,5.404163,2.3039756
1,support,WE4,2.0135689,2.1157124
1,support,WE15,3.9276996,2.7878375
1,support,WE4,2.7479117,2.0873
1,support,WE15,3.8086605,2.216437
1,support,WE4,1.2470323,0.88354003
1,support,WE15,1.7800242,1.1125968
1,support,WE4,1.6524973,1.2140741
1,support,WE9,3.9007597,2.3341184
1,support,WE15,2.22029,1.7428846
1,support,WE4,1.5993876,1.2564023
1,support,WE9,2.1459312,2.3614416
1,support,WE15,0.9400072,1.8101836
