fold,mode,station,target,pred
2,support,WE6,3.1797192,1.6328145
2,support,WE12,3.565864,1.7109361
2,support,WE13,1.8066481,1.9609681
2,support,WE6,3.0101283,1.3077018
2,support,WE12,2.16791,1.3027632
2,support,WE13,1.6639261,1.4627525
2,support,WE6,3.9454577,1.4731327
2,support,WE12,3.536602,1.8055478
2,support,WE13,1.9387417,2.1989982
2,support,WE6,3.5115454,1.9769523
2,support,WE12,3.6707156,2.310422
2,support,WE13,2.4857397,2.7757928
2,support,WE6,3.9959965,2.9340224
2,support,WE12,3.1863527,3.0381382
2,support,WE13,2.6454654,3.75178
2,support,WE6,2.630449,2.5837727
2,support,WE12,2.8887036,2.7897797
2,support,WE13,1.8033587,3.4610302
2,support,WE6,3.8478045,2.6868954
2,support,WE12,3.146305,2.8754282
2,support,WE13,4.5586023,3.4944358
2,support,WE6,1.3558352,2.7942612
2,support,WE12,4.21346,3.0625057
2,support,WE13,4.7390018,3.7399309
2,support,WE6,1.6677068,2.6202207
2,support,WE12,3.2741213,2.9471953
2,support,WE13,2.2460148,3.4736812
2,support,WE6,4.3035245,3.1958945
2,support,WE12,4.224349,3.349084
2,support,WE13,4.005331,3.7872474
2,support,WE6,3.7997499,3.31276
2,support,WE12,3.8172727,3.5109031
2,support,WE13,3.6571307,3.8519638
2,support,WE6,2.5486636,1.2431154
2,support,WE12,1.8261609,1.3130765
2,support,WE13,1.4445633,1.453719
2,support,WE6,3.9887989,1.9892637
2,support,WE12,3.2782762,2.2624485
2,support,WE13,3.5298836,2.8710887
2,support,WE6,1.5195131,1.9208713
2,support,WE12,1.8341802,2.0681596
2,support,WE13,1.6639261,2.1569512
