mode,fold,n,rmse,mae,corr
support,0,31,0.9756373474262553,0.7917734387096776,0.3810866246762233
support,1,22,1.2276232562091707,0.9275503877272725,0.6256462838508215
support,2,42,1.0680579349798527,0.8691485666666665,0.42318651603105095
support,pooled,95,1.0788620503516337,0.8574244729473683,0.48291558560062214
centroid,0,31,1.2600658258307875,1.0202567064516128,0.3519125442843279
centroid,1,22,1.0258228203449633,0.8175522045454543,0.5299704207429041
centroid,2,42,1.0105362114318317,0.8186380714285714,0.4425662444333874
centroid,pooled,95,1.1014885659838318,0.8841779515789474,0.402695748585865
