fold,mode,station,target,pred
0,centroid,WE2,2.4612968,1.7266991
0,centroid,WE8,1.9080598,1.3248982
0,centroid,WE2,2.4362416,1.4067339
0,centroid,WE8,1.5665305,1.128015
0,centroid,WE2,3.6985822,1.4846371
0,centroid,WE8,3.6111882,0.9016426
0,centroid,WE2,3.3357697,1.8920835
0,centroid,WE8,3.1717842,1.344012
0,centroid,WE2,3.0805328,3.1029544
0,centroid,WE8,3.7570052,2.9432316
0,centroid,WE2,2.6130066,2.6120586
0,centroid,WE8,3.9813626,2.1704183
0,centroid,WE2,4.2140517,2.7299614
0,centroid,WE8,4.7064624,2.3496504
0,centroid,WE2,2.0268316,2.892249
0,centroid,WE8,3.2039652,2.349537
0,centroid,WE14,1.9558605,3.605866
0,centroid,WE2,2.3997118,2.4940014
0,centroid,WE8,4.2259574,2.0634441
0,centroid,WE14,2.270062,3.4118338
0,centroid,WE2,4.216857,3.2066293
0,centroid,WE8,4.2889514,2.8941221
0,centroid,WE14,3.8409567,3.818565
0,centroid,WE2,3.7388594,3.2605057
0,centroid,WE8,3.6224725,2.9772763
0,centroid,WE14,3.7230394,3.437458
0,centroid,WE8,1.512927,1.0461421
0,centroid,WE2,3.1650531,1.9111338
0,centroid,WE8,2.791165,1.4134399
0,centroid,WE2,1.8245493,1.9006011
0,centroid,WE8,1.160021,1.5387706
