fold,mode,station,target,pred
2,centroid,WE6,3.1797192,1.9147985
2,centroid,WE12,3.565864,1.9533509
2,centroid,WE13,1.8066481,1.704451
2,centroid,WE6,3.0101283,1.4793919
2,centroid,WE12,2.16791,1.4115702
2,centroid,WE13,1.6639261,1.3312879
2,centroid,WE6,3.9454577,1.7731642
2,centroid,WE12,3.536602,1.886574
2,centroid,WE13,1.9387417,1.6284112
2,centroid,WE6,3.5115454,2.5079417
2,centroid,WE12,3.6707156,2.5760715
2,centroid,WE13,2.4857397,2.4093835
2,centroid,WE6,3.9959965,3.3111224
2,centroid,WE12,3.1863527,3.1490123
2,centroid,WE13,2.6454654,2.9164176
2,centroid,WE6,2.630449,3.3805895
2,centroid,WE12,2.8887036,3.1785135
2,centroid,WE13,1.8033587,2.9597828
2,centroid,WE6,3.8478045,3.227654
2,centroid,WE12,3.146305,3.0690484
2,centroid,WE13,4.5586023,2.8796027
2,centroid,WE6,1.3558352,3.5667818
2,centroid,WE12,4.21346,3.4046607
2,centroid,WE13,4.7390018,3.2963438
2,centroid,WE6,1.6677068,3.4669387
2,centroid,WE12,3.2741213,3.2450836
2,centroid,WE13,2.2460148,3.1215105
2,centroid,WE6,4.3035245,3.8156846
2,centroid,WE12,4.224349,3.4994912
2,centroid,WE13,4.005331,3.5246212
2,centroid,WE6,3.7997499,3.6167648
2,centroid,WE12,3.8172727,3.4067333
2,centroid,WE13,3.6571307,3.5166848
2,centroid,WE6,2.5486636,1.3497094
2,centroid,WE12,1.8261609,1.2907523
2,centroid,WE13,1.4445633,1.2855012
2,centroid,WE6,3.9887989,2.5481465
2,centroid,WE12,3.2782762,2.498258
2,centroid,WE13,3.5298836,2.2688367
2,centroid,WE6,1.5195131,2.329227
2,centroid,WE12,1.8341802,2.365695
2,centroid,WE13,1.6639261,2.2642577
