t,date,target,pred,post,y0,y1,x0,x1,cx,cy
5,2014-06-05 19:10:00+00:00,2.436594,2.2219772,2.2219772,52,73,31,52,-0.32343748,0.54648435
5,2014-06-05 19:10:00+00:00,2.2096395,1.7782863,1.7782863,52,73,52,73,0.034635417,0.50703126
5,2014-06-05 19:10:00+00:00,2.1232054,2.141929,2.141929,52,73,73,94,0.37057292,0.5410156
5,2014-06-05 19:10:00+00:00,1.8562992,1.7749363,1.7749363,52,73,94,115,0.7502604,0.52851564
6,2014-06-07 18:55:00+00:00,2.0749376,1.2556199,1.2556199,10,31,94,115,0.73307294,-0.47851562
6,2014-06-07 18:55:00+00:00,1.9725703,2.6706872,2.6706872,31,52,31,52,-0.31536457,0.036718752
6,2014-06-07 18:55:00+00:00,1.8693975,1.9605056,1.9605056,31,52,94,115,0.73333335,0.025000002
6,2014-06-07 18:55:00+00:00,1.9580489,1.664392,1.664392,52,73,31,52,-0.31901044,0.5667969
6,2014-06-07 18:55:00+00:00,2.0246234,1.3939319,1.3939319,52,73,52,73,0.037760414,0.50820315
6,2014-06-07 18:55:00+00:00,2.08016,1.9345071,1.9345071,52,73,73,94,0.3958333,0.5484375
6,2014-06-07 18:55:00+00:00,1.9348326,1.9607195,1.9607195,52,73,94,115,0.73802084,0.53125
7,2014-06-14 19:00:00+00:00,2.2318249,1.314922,1.314922,10,31,94,115,0.7309896,-0.47460938
7,2014-06-14 19:00:00+00:00,2.5175433,3.3795283,3.3795283,31,52,31,52,-0.31145835,0.041015625
7,2014-06-14 19:00:00+00:00,2.4787693,2.687648,2.687648,31,52,52,73,0.028125,0.030859375
7,2014-06-14 19:00:00+00:00,2.2416258,2.6473162,2.6473162,31,52,73,94,0.38151044,0.011718751
7,2014-06-14 19:00:00+00:00,1.7703737,2.0702658,2.0702658,31,52,94,115,0.73333335,0.025000002
7,2014-06-14 19:00:00+00:00,2.3902802,2.2082236,2.2082236,52,73,31,52,-0.3184896,0.5457032
7,2014-06-14 19:00:00+00:00,2.2756634,1.8411084,1.8411084,52,73,52,73,0.039583337,0.51093745
7,2014-06-14 19:00:00+00:00,2.1828794,2.1219735,2.1219735,52,73,73,94,0.38072914,0.5496094
7,2014-06-14 19:00:00+00:00,1.8045131,1.7902766,1.7902766,52,73,94,115,0.7416667,0.53164065
8,2014-06-16 18:50:00+00:00,1.8553692,1.8137043,1.8137043,31,52,52,73,0.016666668,0.034765624
8,2014-06-16 18:50:00+00:00,1.8390446,2.1127129,2.1127129,31,52,73,94,0.39114583,0.012890625
8,2014-06-16 18:50:00+00:00,1.5262064,1.6921625,1.6921625,31,52,94,115,0.73333335,0.025000002
8,2014-06-16 18:50:00+00:00,2.0809278,1.9454193,1.9454193,52,73,31,52,-0.31848958,0.5320313
