t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.8246202,2.3184264,3.116717,31,52,31,52,-0.3153646,0.039453126
0,2014-05-24 18:45:00+00:00,2.7105577,2.6911027,2.9044282,31,52,52,73,0.026302084,0.02890625
0,2014-05-24 18:45:00+00:00,1.7852062,2.2187917,1.9014024,31,52,94,115,0.73333335,0.025000002
0,2014-05-24 18:45:00+00:00,2.6939673,1.6655831,2.0826185,52,73,10,31,-0.6283854,0.4699219
0,2014-05-24 18:45:00+00:00,2.4296918,0.96534204,1.965611,52,73,31,52,-0.32447916,0.54609376
0,2014-05-24 18:45:00+00:00,2.2324107,1.1947877,1.6311413,52,73,73,94,0.37604165,0.5375
1,2014-05-25 17:50:00+00:00,1.5262896,0.7186057,0.5143066,10,31,94,115,0.72838545,-0.47109377
1,2014-05-25 17:50:00+00:00,2.0722983,1.6310263,2.0036578,31,52,10,31,-0.6455729,0.11367187
1,2014-05-25 17:50:00+00:00,1.5576886,1.1600661,1.7013017,31,52,31,52,-0.30885416,0.04140625
1,2014-05-25 17:50:00+00:00,1.6731858,1.4841758,1.6561414,31,52,52,73,0.014322916,0.032421876
1,2014-05-25 17:50:00+00:00,1.5761608,1.413398,1.440929,31,52,73,94,0.3919271,0.013281252
1,2014-05-25 17:50:00+00:00,1.3194256,1.4892087,1.0310777,31,52,94,115,0.73333335,0.025000002
1,2014-05-25 17:50:00+00:00,1.6161884,0.6614913,1.1433688,52,73,31,52,-0.31328124,0.54296875
1,2014-05-25 17:50:00+00:00,1.5605335,1.116836,1.1222528,52,73,52,73,0.032812502,0.5121094
1,2014-05-25 17:50:00+00:00,1.6087995,0.8837244,1.0416579,52,73,73,94,0.38489583,0.53867185
1,2014-05-25 17:50:00+00:00,1.4235668,0.9886611,0.921527,52,73,94,115,0.7497396,0.5289062
2,2014-05-30 18:05:00+00:00,2.0620258,0.8769316,0.7008449,10,31,94,115,0.73307294,-0.4765625
2,2014-05-30 18:05:00+00:00,3.3658736,2.346753,2.4027104,31,52,10,31,-0.6453125,0.11953125
2,2014-05-30 18:05:00+00:00,1.8453628,1.5985372,2.2545311,31,52,31,52,-0.30625,0.041796874
2,2014-05-30 18:05:00+00:00,1.9533864,2.0259297,2.09211,31,52,52,73,0.029166669,0.02890625
2,2014-05-30 18:05:00+00:00,1.8367482,2.0603979,1.847817,31,52,73,94,0.38229167,0.011718751
2,2014-05-30 18:05:00+00:00,1.5353636,1.7761749,1.4157254,31,52,94,115,0.73333335,0.025000002
2,2014-05-30 18:05:00+00:00,1.7300371,0.6662844,1.3771904,52,73,31,52,-0.32265624,0.54648435
2,2014-05-30 18:05:00+00:00,1.647077,1.2906816,1.2572848,52,73,52,73,0.039583333,0.50820315
2,2014-05-30 18:05:00+00:00,1.6892987,0.8552883,1.2536418,52,73,73,94,0.37708333,0.54609376
2,2014-05-30 18:05:00+00:00,1.5005392,1.0802538,1.0418594,52,73,94,115,0.7505208,0.5296875
3,2014-05-31 18:50:00+00:00,2.473776,0.9820409,0.8931308,10,31,94,115,0.7268229,-0.47695312
3,2014-05-31 18:50:00+00:00,3.7574873,2.876052,3.0578823,31,52,10,31,-0.62343746,0.12148438
3,2014-05-31 18:50:00+00:00,2.3327,2.0776708,2.7510803,31,52,31,52,-0.31041664,0.041015625
3,2014-05-31 18:50:00+00:00,2.3499045,2.4976656,2.6171358,31,52,52,73,0.031770833,0.030859375
3,2014-05-31 18:50:00+00:00,2.330909,2.403705,2.3810227,31,52,73,94,0.38437498,0.011718751
3,2014-05-31 18:50:00+00:00,1.8243341,2.1556408,1.9053087,31,52,94,115,0.73333335,0.025000002
3,2014-05-31 18:50:00+00:00,2.1145594,0.89152706,1.7754275,52,73,31,52,-0.32343748,0.54648435
3,2014-05-31 18:50:00+00:00,2.0196903,1.5758454,1.6198758,52,73,52,73,0.041145835,0.50625
3,2014-05-31 18:50:00+00:00,2.1363657,0.9731839,1.628815,52,73,73,94,0.378125,0.54960936
3,2014-05-31 18:50:00+00:00,1.8152605,1.260754,1.3720199,52,73,94,115,0.7424479,0.53085935
4,2014-06-03 19:20:00+00:00,3.4743874,2.8195078,3.685089,31,52,31,52,-0.30703127,0.03828125
4,2014-06-03 19:20:00+00:00,2.6937306,3.116008,3.3318713,31,52,52,73,0.02109375,0.034375
4,2014-06-03 19:20:00+00:00,2.0138595,2.36289,2.1705623,31,52,94,115,0.73333335,0.025000002
4,2014-06-03 19:20:00+00:00,3.616484,1.5330454,2.4951723,52,73,31,52,-0.30859375,0.54375005
4,2014-06-03 19:20:00+00:00,2.3337939,2.082528,2.064766,52,73,52,73,0.031510416,0.5023438
4,2014-06-03 19:20:00+00:00,2.385531,1.3743943,2.003529,52,73,73,94,0.3841146,0.5347656
4,2014-06-03 19:20:00+00:00,2.137159,1.344654,1.5025381,52,73,94,115,0.7601563,0.5261719
5,2014-06-05 19:10:00+00:00,2.3907669,0.92318785,0.8645428,10,31,94,115,0.72942704,-0.47382814
5,2014-06-05 19:10:00+00:00,3.7953875,3.3305323,3.222449,31,52,10,31,-0.6304687,0.120703116
5,2014-06-05 19:10:00+00:00,2.5846643,2.2764935,3.0710442,31,52,31,52,-0.31041664,0.041015625
5,2014-06-05 19:10:00+00:00,2.3303277,2.6565657,2.7784488,31,52,52,73,0.03125,0.03125
5,2014-06-05 19:10:00+00:00,1.8810016,2.1663475,1.849323,31,52,94,115,0.73333335,0.025000002
5,2014-06-05 19:10:00+00:00,2.436594,0.97883934,1.943671,52,73,31,52,-0.32343748,0.54648435
5,2014-06-05 19:10:00+00:00,2.2096395,1.686639,1.666162,52,73,52,73,0.034635417,0.50703126
5,2014-06-05 19:10:00+00:00,2.1232054,1.1347785,1.5897384,52,73,73,94,0.37057292,0.5410156
5,2014-06-05 19:10:00+00:00,1.8562992,1.236876,1.2566156,52,73,94,115,0.7502604,0.52851564
6,2014-06-07 18:55:00+00:00,2.0749376,0.9064279,0.8085279,10,31,94,115,0.73307294,-0.47851562
6,2014-06-07 18:55:00+00:00,1.9725703,1.6450809,2.2742884,31,52,31,52,-0.31536457,0.036718752
6,2014-06-07 18:55:00+00:00,1.8693975,1.9044566,1.6319946,31,52,94,115,0.73333335,0.025000002
6,2014-06-07 18:55:00+00:00,1.9580489,0.7699316,1.502364,52,73,31,52,-0.31901044,0.5667969
6,2014-06-07 18:55:00+00:00,2.0246234,1.3580806,1.380728,52,73,52,73,0.037760414,0.50820315
6,2014-06-07 18:55:00+00:00,2.08016,0.9501678,1.4313527,52,73,73,94,0.3958333,0.5484375
6,2014-06-07 18:55:00+00:00,1.9348326,1.2256398,1.2895447,52,73,94,115,0.73802084,0.53125
7,2014-06-14 19:00:00+00:00,2.2318249,0.8873141,0.80273217,10,31,94,115,0.7309896,-0.47460938
7,2014-06-14 19:00:00+00:00,2.5175433,2.3562875,3.176723,31,52,31,52,-0.31145835,0.041015625
7,2014-06-14 19:00:00+00:00,2.4787693,2.624271,2.9790406,31,52,52,73,0.028125,0.030859375
7,2014-06-14 19:00:00+00:00,2.2416258,2.5228446,2.580826,31,52,73,94,0.38151044,0.011718751
7,2014-06-14 19:00:00+00:00,1.7703737,2.1303751,1.8547463,31,52,94,115,0.73333335,0.025000002
7,2014-06-14 19:00:00+00:00,2.3902802,1.0656991,2.0134904,52,73,31,52,-0.3184896,0.5457032
7,2014-06-14 19:00:00+00:00,2.2756634,1.7616656,1.7902023,52,73,52,73,0.039583337,0.51093745
7,2014-06-14 19:00:00+00:00,2.1828794,0.93836427,1.6742933,52,73,73,94,0.38072914,0.5496094
7,2014-06-14 19:00:00+00:00,1.8045131,1.1857346,1.2574517,52,73,94,115,0.7416667,0.53164065
8,2014-06-16 18:50:00+00:00,1.8553692,1.9115098,2.094522,31,52,52,73,0.016666668,0.034765624
8,2014-06-16 18:50:00+00:00,1.8390446,1.6697654,1.8238138,31,52,73,94,0.39114583,0.012890625
8,2014-06-16 18:50:00+00:00,1.5262064,1.7073209,1.3385473,31,52,94,115,0.73333335,0.025000002
8,2014-06-16 18:50:00+00:00,2.0809278,1.0222756,1.5720179,52,73,31,52,-0.31848958,0.5320313
8,2014-06-16 18:50:00+00:00,1.9939032,1.3866862,1.3955888,52,73,52,73,0.034374997,0.509375
8,2014-06-16 18:50:00+00:00,2.033259,0.886743,1.4259566,52,73,73,94,0.38385418,0.5503906
8,2014-06-16 18:50:00+00:00,1.828138,1.136668,1.1772684,52,73,94,115,0.7421875,0.53125
9,2014-06-21 19:10:00+00:00,1.6231927,1.9431772,2.0473752,31,52,94,115,0.7132813,0.026953125
9,2014-06-21 19:10:00+00:00,2.3539834,1.5825384,2.1391647,52,73,31,52,-0.32161456,0.5171875
