t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,3.1589394,2.109168,2.2043724,25,42,42,59,-0.16119793,-0.15703125
0,2014-05-24 18:45:00+00:00,2.4999332,2.1592467,2.2845688,25,42,76,93,0.41458333,-0.171875
0,2014-05-24 18:45:00+00:00,1.8914814,1.4696791,1.7086781,25,42,93,110,0.68333334,-0.175
0,2014-05-24 18:45:00+00:00,1.7527999,1.5478661,1.7063181,25,42,110,121,0.9138021,-0.16835937
0,2014-05-24 18:45:00+00:00,3.3414035,1.8582382,1.9649386,42,59,8,25,-0.7309896,0.24882811
0,2014-05-24 18:45:00+00:00,2.384798,2.2166705,2.4409382,42,59,25,42,-0.4518229,0.25195312
0,2014-05-24 18:45:00+00:00,2.1884964,1.962012,2.173027,42,59,42,59,-0.16666667,0.25
0,2014-05-24 18:45:00+00:00,2.2764347,0.94900787,1.838913,42,59,59,76,0.12760417,0.25585938
0,2014-05-24 18:45:00+00:00,1.9019107,1.3111703,1.5462235,42,59,93,110,0.68333334,0.25
0,2014-05-24 18:45:00+00:00,2.596593,2.9108865,2.609452,59,76,25,42,-0.43411458,0.6527344
1,2014-05-25 17:50:00+00:00,1.6497904,0.7123489,0.97737515,8,25,93,110,0.6817708,-0.5582031
1,2014-05-25 17:50:00+00:00,1.7829505,1.3868712,1.3265504,25,42,42,59,-0.1591146,-0.15390626
1,2014-05-25 17:50:00+00:00,1.5502101,1.1704769,1.4212947,25,42,76,93,0.40729165,-0.1734375
1,2014-05-25 17:50:00+00:00,1.3073186,0.89304996,1.1362271,25,42,93,110,0.68333334,-0.175
1,2014-05-25 17:50:00+00:00,1.3622596,0.8874981,1.0527749,25,42,110,121,0.9166666,-0.175
1,2014-05-25 17:50:00+00:00,2.1069818,1.1396943,1.1638672,42,59,8,25,-0.71484375,0.24296877
1,2014-05-25 17:50:00+00:00,1.5364697,1.1750203,1.3314902,42,59,25,42,-0.45,0.25
1,2014-05-25 17:50:00+00:00,1.3976078,1.2000939,1.3148706,42,59,42,59,-0.16666667,0.25
1,2014-05-25 17:50:00+00:00,1.5519278,0.53067577,1.1287789,42,59,59,76,0.112500004,0.25429687
1,2014-05-25 17:50:00+00:00,1.3498125,0.7175146,1.0473021,42,59,93,110,0.68333334,0.25
1,2014-05-25 17:50:00+00:00,1.3619993,0.6697327,0.9831742,42,59,110,121,0.9166666,0.25
1,2014-05-25 17:50:00+00:00,1.9384726,1.8349359,1.5452052,59,76,25,42,-0.4440104,0.6503906
1,2014-05-25 17:50:00+00:00,1.6409158,1.7060379,1.5514433,59,76,42,59,-0.18177083,0.6207031
1,2014-05-25 17:50:00+00:00,1.6317258,1.3471553,1.6338754,59,76,76,93,0.38958335,0.6402344
1,2014-05-25 17:50:00+00:00,1.3532175,1.0150354,1.2059613,59,76,110,121,0.9166666,0.67499995
2,2014-05-30 18:05:00+00:00,2.2024329,0.8430358,1.1117847,8,25,93,110,0.6830729,-0.5582031
2,2014-05-30 18:05:00+00:00,2.1594603,1.6174214,1.584227,25,42,42,59,-0.15989584,-0.15625
2,2014-05-30 18:05:00+00:00,1.8163791,1.6402175,1.7473665,25,42,76,93,0.4125,-0.16679686
2,2014-05-30 18:05:00+00:00,1.6276062,1.1152205,1.334571,25,42,93,110,0.68333334,-0.175
2,2014-05-30 18:05:00+00:00,1.725749,1.1600549,1.2986677,25,42,110,121,0.9166666,-0.175
2,2014-05-30 18:05:00+00:00,3.495361,1.3019432,1.424498,42,59,8,25,-0.7229166,0.24101563
2,2014-05-30 18:05:00+00:00,1.8145039,1.5042818,1.6982726,42,59,25,42,-0.45,0.25
2,2014-05-30 18:05:00+00:00,1.525844,1.4396994,1.5579998,42,59,42,59,-0.16666667,0.25
2,2014-05-30 18:05:00+00:00,1.6707691,0.591283,1.2980026,42,59,59,76,0.11979167,0.25234374
2,2014-05-30 18:05:00+00:00,1.5370882,0.90847236,1.2051169,42,59,93,110,0.68333334,0.25
