t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.5931726,2.3384616,2.3384616,19,32,84,97,0.5,-0.375
0,2014-05-24 18:45:00+00:00,3.1672716,3.4785655,3.4785655,32,45,32,45,-0.3645833,-0.03984375
0,2014-05-24 18:45:00+00:00,2.4746385,3.1656923,3.1656923,32,45,45,58,-0.15,-0.050000004
0,2014-05-24 18:45:00+00:00,2.5509362,2.7731552,2.7731552,32,45,71,84,0.28046876,-0.03984375
0,2014-05-24 18:45:00+00:00,2.1373417,2.398669,2.398669,32,45,84,97,0.5,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7445829,1.9987584,1.9987584,32,45,97,110,0.7166667,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7499595,1.9626235,1.9626235,32,45,110,121,0.9166666,-0.050000004
0,2014-05-24 18:45:00+00:00,3.2643802,3.0034826,3.0034826,45,58,6,19,-0.78776044,0.2671875
0,2014-05-24 18:45:00+00:00,2.4658046,3.103781,3.103781,45,58,19,32,-0.5833333,0.275
0,2014-05-24 18:45:00+00:00,2.358268,2.5606902,2.5606902,45,58,32,45,-0.37187502,0.27734375
0,2014-05-24 18:45:00+00:00,2.1362355,2.3960435,2.3960435,45,58,45,58,-0.15,0.275
0,2014-05-24 18:45:00+00:00,2.232104,2.3985808,2.3985808,45,58,58,71,0.07630208,0.27421877
0,2014-05-24 18:45:00+00:00,2.0569317,2.0507982,2.0507982,45,58,84,97,0.5101563,0.28671876
0,2014-05-24 18:45:00+00:00,1.8907422,1.8973594,1.8973594,45,58,97,110,0.7166667,0.275
0,2014-05-24 18:45:00+00:00,2.61508,2.7181573,2.7181573,58,71,19,32,-0.5697917,0.57421875
0,2014-05-24 18:45:00+00:00,2.4780805,2.2099583,2.2099583,58,71,32,45,-0.36666667,0.6
0,2014-05-24 18:45:00+00:00,2.3475149,2.1499374,2.1499374,58,71,45,58,-0.15572916,0.5835937
0,2014-05-24 18:45:00+00:00,2.2883074,2.1730237,2.1730237,58,71,71,84,0.284375,0.5972656
1,2014-05-25 17:50:00+00:00,1.5077957,1.445166,1.445166,19,32,84,97,0.5,-0.375
