t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,3.1589394,2.6278415,2.6278415,25,42,42,59,-0.16119793,-0.15703125
0,2014-05-24 18:45:00+00:00,2.4999332,2.61171,2.61171,25,42,76,93,0.41458333,-0.171875
0,2014-05-24 18:45:00+00:00,1.8914814,1.965787,1.965787,25,42,93,110,0.68333334,-0.175
0,2014-05-24 18:45:00+00:00,1.7527999,1.9274611,1.9274611,25,42,110,121,0.9138021,-0.16835937
0,2014-05-24 18:45:00+00:00,3.3414035,2.6498137,2.6498137,42,59,8,25,-0.7309896,0.24882811
0,2014-05-24 18:45:00+00:00,2.384798,3.0967276,3.0967276,42,59,25,42,-0.4518229,0.25195312
0,2014-05-24 18:45:00+00:00,2.1884964,2.6349497,2.6349497,42,59,42,59,-0.16666667,0.25
0,2014-05-24 18:45:00+00:00,2.2764347,2.3909433,2.3909433,42,59,59,76,0.12760417,0.25585938
0,2014-05-24 18:45:00+00:00,1.9019107,1.8771714,1.8771714,42,59,93,110,0.68333334,0.25
0,2014-05-24 18:45:00+00:00,2.596593,2.5542402,2.5542402,59,76,25,42,-0.43411458,0.6527344
1,2014-05-25 17:50:00+00:00,1.6497904,1.2433528,1.2433528,8,25,93,110,0.6817708,-0.5582031
1,2014-05-25 17:50:00+00:00,1.7829505,1.5118603,1.5118603,25,42,42,59,-0.1591146,-0.15390626
1,2014-05-25 17:50:00+00:00,1.5502101,1.6353879,1.6353879,25,42,76,93,0.40729165,-0.1734375
1,2014-05-25 17:50:00+00:00,1.3073186,1.2607594,1.2607594,25,42,93,110,0.68333334,-0.175
1,2014-05-25 17:50:00+00:00,1.3622596,1.2441113,1.2441113,25,42,110,121,0.9166666,-0.175
1,2014-05-25 17:50:00+00:00,2.1069818,1.4540311,1.4540311,42,59,8,25,-0.71484375,0.24296877
1,2014-05-25 17:50:00+00:00,1.5364697,1.7035687,1.7035687,42,59,25,42,-0.45,0.25
1,2014-05-25 17:50:00+00:00,1.3976078,1.5131596,1.5131596,42,59,42,59,-0.16666667,0.25
1,2014-05-25 17:50:00+00:00,1.5519278,1.3740969,1.3740969,42,59,59,76,0.112500004,0.25429687
1,2014-05-25 17:50:00+00:00,1.3498125,1.1751717,1.1751717,42,59,93,110,0.68333334,0.25
1,2014-05-25 17:50:00+00:00,1.3619993,1.217366,1.217366,42,59,110,121,0.9166666,0.25
1,2014-05-25 17:50:00+00:00,1.9384726,1.4031806,1.4031806,59,76,25,42,-0.4440104,0.6503906
1,2014-05-25 17:50:00+00:00,1.6409158,1.3216163,1.3216163,59,76,42,59,-0.18177083,0.6207031
1,2014-05-25 17:50:00+00:00,1.6317258,1.4337347,1.4337347,59,76,76,93,0.38958335,0.6402344
1,2014-05-25 17:50:00+00:00,1.3532175,1.2129,1.2129,59,76,110,121,0.9166666,0.67499995
2,2014-05-30 18:05:00+00:00,2.2024329,1.3970618,1.3970618,8,25,93,110,0.6830729,-0.5582031
2,2014-05-30 18:05:00+00:00,2.1594603,1.8384035,1.8384035,25,42,42,59,-0.15989584,-0.15625
2,2014-05-30 18:05:00+00:00,1.8163791,2.038858,2.038858,25,42,76,93,0.4125,-0.16679686
2,2014-05-30 18:05:00+00:00,1.6276062,1.4954524,1.4954524,25,42,93,110,0.68333334,-0.175
2,2014-05-30 18:05:00+00:00,1.725749,1.4689655,1.4689655,25,42,110,121,0.9166666,-0.175
2,2014-05-30 18:05:00+00:00,3.495361,1.8724372,1.8724372,42,59,8,25,-0.7229166,0.24101563
2,2014-05-30 18:05:00+00:00,1.8145039,2.2630315,2.2630315,42,59,25,42,-0.45,0.25
2,2014-05-30 18:05:00+00:00,1.525844,1.8252344,1.8252344,42,59,42,59,-0.16666667,0.25
2,2014-05-30 18:05:00+00:00,1.6707691,1.6623398,1.6623398,42,59,59,76,0.11979167,0.25234374
2,2014-05-30 18:05:00+00:00,1.5370882,1.3967165,1.3967165,42,59,93,110,0.68333334,0.25
2,2014-05-30 18:05:00+00:00,1.4223471,1.4519687,1.4519687,42,59,110,121,0.9166666,0.25
2,2014-05-30 18:05:00+00:00,2.0363772,1.7417239,1.7417239,59,76,25,42,-0.4403646,0.6484375
2,2014-05-30 18:05:00+00:00,1.7085677,1.4665639,1.4665639,59,76,42,59,-0.17682292,0.6191406
2,2014-05-30 18:05:00+00:00,1.6785672,1.8112369,1.8112369,59,76,76,93,0.39166665,0.640625
2,2014-05-30 18:05:00+00:00,1.5462905,1.2988882,1.2988882,59,76,93,110,0.7164062,0.63984376
2,2014-05-30 18:05:00+00:00,1.3337973,1.4267509,1.4267509,59,76,110,121,0.9166666,0.67499995
