t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.5931726,2.1892574,2.1892574,19,32,84,97,0.5,-0.375
0,2014-05-24 18:45:00+00:00,3.1672716,3.2220278,3.2220278,32,45,32,45,-0.3645833,-0.03984375
0,2014-05-24 18:45:00+00:00,2.4746385,2.8144133,2.8144133,32,45,45,58,-0.15,-0.050000004
0,2014-05-24 18:45:00+00:00,2.5509362,2.5249598,2.5249598,32,45,71,84,0.28046876,-0.03984375
0,2014-05-24 18:45:00+00:00,2.1373417,2.214884,2.214884,32,45,84,97,0.5,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7445829,1.8721566,1.8721566,32,45,97,110,0.7166667,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7499595,1.830557,1.830557,32,45,110,121,0.9166666,-0.050000004
0,2014-05-24 18:45:00+00:00,3.2643802,2.8520634,2.8520634,45,58,6,19,-0.78776044,0.2671875
0,2014-05-24 18:45:00+00:00,2.4658046,3.0269523,3.0269523,45,58,19,32,-0.5833333,0.275
0,2014-05-24 18:45:00+00:00,2.358268,2.4857376,2.4857376,45,58,32,45,-0.37187502,0.27734375
0,2014-05-24 18:45:00+00:00,2.1362355,2.2424948,2.2424948,45,58,45,58,-0.15,0.275
0,2014-05-24 18:45:00+00:00,2.232104,2.2712915,2.2712915,45,58,58,71,0.07630208,0.27421877
0,2014-05-24 18:45:00+00:00,2.0569317,2.093352,2.093352,45,58,84,97,0.5101563,0.28671876
0,2014-05-24 18:45:00+00:00,1.8907422,1.9289445,1.9289445,45,58,97,110,0.7166667,0.275
0,2014-05-24 18:45:00+00:00,2.61508,2.688785,2.688785,58,71,19,32,-0.5697917,0.57421875
0,2014-05-24 18:45:00+00:00,2.4780805,2.1610332,2.1610332,58,71,32,45,-0.36666667,0.6
0,2014-05-24 18:45:00+00:00,2.3475149,2.0320961,2.0320961,58,71,45,58,-0.15572916,0.5835937
0,2014-05-24 18:45:00+00:00,2.2883074,2.1100783,2.1100783,58,71,71,84,0.284375,0.5972656
1,2014-05-25 17:50:00+00:00,1.5077957,1.5150924,1.5150924,19,32,84,97,0.5,-0.375
1,2014-05-25 17:50:00+00:00,1.3769561,1.4152724,1.4152724,19,32,97,110,0.7166667,-0.375
1,2014-05-25 17:50:00+00:00,1.3854364,1.4451121,1.4451121,19,32,110,121,0.9166666,-0.375
1,2014-05-25 17:50:00+00:00,1.6404147,1.9126824,1.9126824,32,45,32,45,-0.36302084,-0.03359375
1,2014-05-25 17:50:00+00:00,1.5515301,1.7253278,1.7253278,32,45,45,58,-0.15,-0.050000004
1,2014-05-25 17:50:00+00:00,1.8802419,1.6219381,1.6219381,32,45,58,71,0.05729167,-0.05078125
1,2014-05-25 17:50:00+00:00,1.6888909,1.5272144,1.5272144,32,45,71,84,0.27916667,-0.04414063
1,2014-05-25 17:50:00+00:00,1.3750097,1.3922439,1.3922439,32,45,84,97,0.49114585,-0.051562503
1,2014-05-25 17:50:00+00:00,1.2938359,1.2772672,1.2772672,32,45,97,110,0.7166667,-0.050000004
1,2014-05-25 17:50:00+00:00,1.3703035,1.320808,1.320808,32,45,110,121,0.9166666,-0.050000004
1,2014-05-25 17:50:00+00:00,1.5883125,2.0898323,2.0898323,45,58,19,32,-0.5833333,0.275
1,2014-05-25 17:50:00+00:00,1.4883579,1.6918383,1.6918383,45,58,32,45,-0.36666667,0.275
1,2014-05-25 17:50:00+00:00,1.3874615,1.6210369,1.6210369,45,58,45,58,-0.15,0.275
1,2014-05-25 17:50:00+00:00,1.4943277,1.5743589,1.5743589,45,58,58,71,0.06666666,0.275
1,2014-05-25 17:50:00+00:00,1.5589353,1.4961098,1.4961098,45,58,84,97,0.509375,0.278125
1,2014-05-25 17:50:00+00:00,1.3507843,1.4411854,1.4411854,45,58,97,110,0.7166667,0.275
1,2014-05-25 17:50:00+00:00,1.3562243,1.503868,1.503868,45,58,110,121,0.9166666,0.275
1,2014-05-25 17:50:00+00:00,1.6551791,1.5412216,1.5412216,58,71,32,45,-0.36666667,0.6
1,2014-05-25 17:50:00+00:00,1.5784546,1.5314801,1.5314801,58,71,45,58,-0.15598959,0.58320314
1,2014-05-25 17:50:00+00:00,1.5892786,1.4606532,1.4606532,58,71,58,71,0.07057291,0.584375
1,2014-05-25 17:50:00+00:00,1.5763836,1.5096463,1.5096463,58,71,71,84,0.28619793,0.5929687
1,2014-05-25 17:50:00+00:00,1.6171257,1.4352221,1.4352221,58,71,84,97,0.48854166,0.5800781
1,2014-05-25 17:50:00+00:00,1.4269342,1.3506403,1.3506403,58,71,97,110,0.73046875,0.58906245
1,2014-05-25 17:50:00+00:00,1.3542476,1.4383416,1.4383416,58,71,110,121,0.9166666,0.6
1,2014-05-25 17:50:00+00:00,1.253662,1.2898971,1.2898971,71,81,110,121,0.9166666,0.8875
2,2014-05-30 18:05:00+00:00,1.8474857,1.8711616,1.8711616,19,32,84,97,0.5,-0.375
2,2014-05-30 18:05:00+00:00,1.8603139,1.6823589,1.6823589,19,32,97,110,0.7166667,-0.375
2,2014-05-30 18:05:00+00:00,1.9036222,1.69633,1.69633,19,32,110,121,0.9166666,-0.375
2,2014-05-30 18:05:00+00:00,1.9795693,2.4285653,2.4285653,32,45,32,45,-0.35989583,-0.035937503
2,2014-05-30 18:05:00+00:00,1.8313289,2.1607914,2.1607914,32,45,45,58,-0.15,-0.050000004
2,2014-05-30 18:05:00+00:00,2.1226,2.0464792,2.0464792,32,45,58,71,0.055729166,-0.051171873
2,2014-05-30 18:05:00+00:00,1.9358379,1.9759222,1.9759222,32,45,71,84,0.27526042,-0.043750003
2,2014-05-30 18:05:00+00:00,1.6488578,1.8083893,1.8083893,32,45,84,97,0.5,-0.050000004
2,2014-05-30 18:05:00+00:00,1.5283374,1.5782014,1.5782014,32,45,97,110,0.7166667,-0.050000004
2,2014-05-30 18:05:00+00:00,1.5838499,1.5849947,1.5849947,32,45,110,121,0.9166666,-0.050000004
