t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.9087672,2.1836653,2.1836653,13,22,94,103,0.6333333,-0.575
0,2014-05-24 18:45:00+00:00,2.5058258,2.5722132,2.5722132,22,31,85,94,0.48333335,-0.35000002
0,2014-05-24 18:45:00+00:00,2.112415,2.2078938,2.2078938,22,31,94,103,0.6307292,-0.34570312
0,2014-05-24 18:45:00+00:00,2.9206707,3.215268,3.215268,31,40,40,49,-0.2640625,-0.122656256
0,2014-05-24 18:45:00+00:00,2.6127374,2.927934,2.927934,31,40,49,58,-0.11666667,-0.125
0,2014-05-24 18:45:00+00:00,3.103568,2.9609108,2.9609108,31,40,67,76,0.18854168,-0.12851563
0,2014-05-24 18:45:00+00:00,2.2365701,2.386676,2.386676,31,40,85,94,0.48333335,-0.125
0,2014-05-24 18:45:00+00:00,1.8944422,2.0523186,2.0523186,31,40,94,103,0.6333333,-0.125
0,2014-05-24 18:45:00+00:00,1.7233101,1.9332323,1.9332323,31,40,103,112,0.78333336,-0.125
0,2014-05-24 18:45:00+00:00,1.7359732,2.0601358,2.0601358,31,40,112,121,0.93333334,-0.125
0,2014-05-24 18:45:00+00:00,2.9605353,3.399257,3.399257,40,49,22,31,-0.56666666,0.099999994
0,2014-05-24 18:45:00+00:00,2.4154017,3.1119223,3.1119223,40,49,31,40,-0.41875002,0.09921874
0,2014-05-24 18:45:00+00:00,2.2562835,2.5683663,2.5683663,40,49,40,49,-0.26666665,0.099999994
0,2014-05-24 18:45:00+00:00,2.1525679,2.3545046,2.3545046,40,49,49,58,-0.11666667,0.099999994
0,2014-05-24 18:45:00+00:00,2.3777626,2.4866807,2.4866807,40,49,67,76,0.18411458,0.107421875
0,2014-05-24 18:45:00+00:00,1.9963496,2.268205,2.268205,40,49,85,94,0.48984373,0.08984375
0,2014-05-24 18:45:00+00:00,1.7839619,1.9634382,1.9634382,40,49,94,103,0.6333333,0.099999994
0,2014-05-24 18:45:00+00:00,1.7204813,1.7875099,1.7875099,40,49,103,112,0.78333336,0.099999994
0,2014-05-24 18:45:00+00:00,1.741298,1.8891581,1.8891581,40,49,112,121,0.93333334,0.099999994
0,2014-05-24 18:45:00+00:00,2.5938258,2.785643,2.785643,49,58,13,22,-0.71666664,0.325
0,2014-05-24 18:45:00+00:00,2.4568083,2.619584,2.619584,49,58,22,31,-0.56666666,0.325
0,2014-05-24 18:45:00+00:00,2.4170454,2.3604043,2.3604043,49,58,31,40,-0.4166667,0.325
0,2014-05-24 18:45:00+00:00,2.3176687,2.0687933,2.0687933,49,58,40,49,-0.26666665,0.325
0,2014-05-24 18:45:00+00:00,2.1047447,1.9065361,1.9065361,49,58,49,58,-0.11666667,0.325
0,2014-05-24 18:45:00+00:00,2.1902509,1.9468927,1.9468927,49,58,58,67,0.033333335,0.325
0,2014-05-24 18:45:00+00:00,2.1976743,2.156262,2.156262,49,58,67,76,0.18333334,0.325
0,2014-05-24 18:45:00+00:00,2.1364703,2.0921404,2.0921404,49,58,85,94,0.4898438,0.3292969
0,2014-05-24 18:45:00+00:00,2.0351012,1.9354959,1.9354959,49,58,94,103,0.6333333,0.325
0,2014-05-24 18:45:00+00:00,1.8696907,1.839862,1.839862,49,58,103,112,0.78333336,0.325
0,2014-05-24 18:45:00+00:00,2.5508108,2.4612024,2.4612024,58,67,22,31,-0.56432295,0.54648435
0,2014-05-24 18:45:00+00:00,2.416787,2.2416003,2.2416003,58,67,31,40,-0.4166667,0.55
0,2014-05-24 18:45:00+00:00,2.3163111,2.004729,2.004729,58,67,40,49,-0.26666665,0.55
0,2014-05-24 18:45:00+00:00,2.3736732,1.8673699,1.8673699,58,67,49,58,-0.11666667,0.55
0,2014-05-24 18:45:00+00:00,2.2952063,2.0420296,2.0420296,58,67,67,76,0.18723959,0.5425781
0,2014-05-24 18:45:00+00:00,2.1917279,2.1266677,2.1266677,58,67,76,85,0.3333333,0.55
0,2014-05-24 18:45:00+00:00,2.1772163,2.0611012,2.0611012,58,67,85,94,0.48333335,0.55
0,2014-05-24 18:45:00+00:00,2.786323,2.419693,2.419693,67,76,31,40,-0.41875002,0.7734375
1,2014-05-25 17:50:00+00:00,1.569455,1.4582175,1.4582175,13,22,94,103,0.6333333,-0.575
1,2014-05-25 17:50:00+00:00,1.5485352,1.5124692,1.5124692,13,22,103,112,0.78020835,-0.5691406
1,2014-05-25 17:50:00+00:00,1.4825495,1.6593796,1.6593796,22,31,85,94,0.48333335,-0.35000002
1,2014-05-25 17:50:00+00:00,1.3682255,1.5011809,1.5011809,22,31,94,103,0.6333333,-0.35000002
1,2014-05-25 17:50:00+00:00,1.3582954,1.5079564,1.5079564,22,31,103,112,0.78333336,-0.35000002
1,2014-05-25 17:50:00+00:00,1.3723109,1.6125119,1.6125119,22,31,112,121,0.93333334,-0.35000002
1,2014-05-25 17:50:00+00:00,1.707515,1.9215796,1.9215796,31,40,40,49,-0.26171875,-0.1203125
1,2014-05-25 17:50:00+00:00,1.6453682,1.689257,1.689257,31,40,49,58,-0.11666667,-0.125
1,2014-05-25 17:50:00+00:00,1.9152648,1.8031496,1.8031496,31,40,58,67,0.025781251,-0.122656256
1,2014-05-25 17:50:00+00:00,1.9532908,1.8397883,1.8397883,31,40,67,76,0.18723959,-0.13085938
1,2014-05-25 17:50:00+00:00,1.390724,1.50241,1.50241,31,40,85,94,0.48333335,-0.125
1,2014-05-25 17:50:00+00:00,1.2857908,1.3964837,1.3964837,31,40,94,103,0.6333333,-0.125
1,2014-05-25 17:50:00+00:00,1.3088754,1.4250984,1.4250984,31,40,103,112,0.78333336,-0.125
1,2014-05-25 17:50:00+00:00,1.3587773,1.4928764,1.4928764,31,40,112,121,0.93333334,-0.125
1,2014-05-25 17:50:00+00:00,1.9885421,2.028136,2.028136,40,49,13,22,-0.7161459,0.11367187
1,2014-05-25 17:50:00+00:00,1.619381,1.9079982,1.9079982,40,49,22,31,-0.5653646,0.10117187
1,2014-05-25 17:50:00+00:00,1.4971693,1.7712363,1.7712363,40,49,31,40,-0.4166667,0.099999994
1,2014-05-25 17:50:00+00:00,1.3948895,1.6272448,1.6272448,40,49,40,49,-0.26666665,0.099999994
1,2014-05-25 17:50:00+00:00,1.343163,1.4609475,1.4609475,40,49,49,58,-0.11666667,0.099999994
1,2014-05-25 17:50:00+00:00,1.5643831,1.5294667,1.5294667,40,49,58,67,0.029947918,0.103125
1,2014-05-25 17:50:00+00:00,1.6507024,1.6258379,1.6258379,40,49,67,76,0.18697917,0.103125
1,2014-05-25 17:50:00+00:00,1.4342077,1.450556,1.450556,40,49,85,94,0.49088544,0.0984375
1,2014-05-25 17:50:00+00:00,1.3025033,1.3557785,1.3557785,40,49,94,103,0.6333333,0.099999994
1,2014-05-25 17:50:00+00:00,1.3323503,1.3539264,1.3539264,40,49,103,112,0.78333336,0.099999994
1,2014-05-25 17:50:00+00:00,1.3848029,1.3987619,1.3987619,40,49,112,121,0.93333334,0.099999994
1,2014-05-25 17:50:00+00:00,1.6720896,1.8708254,1.8708254,49,58,13,22,-0.7166667,0.32578123
1,2014-05-25 17:50:00+00:00,1.6063839,1.6566883,1.6566883,49,58,22,31,-0.56666666,0.325
1,2014-05-25 17:50:00+00:00,1.5380279,1.5363237,1.5363237,49,58,31,40,-0.4166667,0.325
1,2014-05-25 17:50:00+00:00,1.4497623,1.4876226,1.4876226,49,58,40,49,-0.26666665,0.325
1,2014-05-25 17:50:00+00:00,1.4108547,1.3651537,1.3651537,49,58,49,58,-0.11666667,0.325
1,2014-05-25 17:50:00+00:00,1.4922923,1.4213759,1.4213759,49,58,58,67,0.033333335,0.325
1,2014-05-25 17:50:00+00:00,1.5561717,1.5356283,1.5356283,49,58,67,76,0.18333334,0.325
1,2014-05-25 17:50:00+00:00,1.6748782,1.4679877,1.4679877,49,58,85,94,0.4856771,0.328125
1,2014-05-25 17:50:00+00:00,1.3821388,1.4127073,1.4127073,49,58,94,103,0.6333333,0.325
1,2014-05-25 17:50:00+00:00,1.351375,1.4397517,1.4397517,49,58,103,112,0.78333336,0.325
1,2014-05-25 17:50:00+00:00,1.3502989,1.4370004,1.4370004,49,58,112,121,0.93333334,0.325
1,2014-05-25 17:50:00+00:00,1.7890043,1.6605598,1.6605598,58,67,22,31,-0.56614584,0.5433594
1,2014-05-25 17:50:00+00:00,1.6944097,1.564325,1.564325,58,67,31,40,-0.4166667,0.55
1,2014-05-25 17:50:00+00:00,1.5826157,1.5183803,1.5183803,58,67,40,49,-0.26666665,0.55
1,2014-05-25 17:50:00+00:00,1.5423437,1.4104389,1.4104389,58,67,49,58,-0.11666667,0.55
1,2014-05-25 17:50:00+00:00,1.5751565,1.4663539,1.4663539,58,67,58,67,0.030208334,0.5449219
1,2014-05-25 17:50:00+00:00,1.6156219,1.571783,1.571783,58,67,67,76,0.18333334,0.5492188
1,2014-05-25 17:50:00+00:00,1.5024837,1.536718,1.536718,58,67,76,85,0.3333333,0.55
1,2014-05-25 17:50:00+00:00,1.5064346,1.5196614,1.5196614,58,67,85,94,0.48333335,0.55
1,2014-05-25 17:50:00+00:00,1.3649279,1.4751925,1.4751925,58,67,103,112,0.78333336,0.55
1,2014-05-25 17:50:00+00:00,1.3544092,1.4920462,1.4920462,58,67,112,121,0.93333334,0.55
1,2014-05-25 17:50:00+00:00,1.8271273,1.5797116,1.5797116,67,76,31,40,-0.41796875,0.7648437
1,2014-05-25 17:50:00+00:00,1.3912706,1.4174958,1.4174958,67,76,103,112,0.78333336,0.7726562
1,2014-05-25 17:50:00+00:00,1.3502841,1.4133295,1.4133295,67,76,112,121,0.93333334,0.775
1,2014-05-25 17:50:00+00:00,1.145016,1.3088373,1.3088373,76,81,112,121,0.93333334,0.95
