t,date,target,pred,post,y0,y1,x0,x1,cx,cy
0,2014-05-24 18:45:00+00:00,2.5931726,2.1643984,2.3704762,19,32,84,97,0.5,-0.375
0,2014-05-24 18:45:00+00:00,3.1672716,3.1051564,3.171161,32,45,32,45,-0.3645833,-0.03984375
0,2014-05-24 18:45:00+00:00,2.4746385,3.0858548,2.9172416,32,45,45,58,-0.15,-0.050000004
0,2014-05-24 18:45:00+00:00,2.5509362,2.5447147,2.7568324,32,45,71,84,0.28046876,-0.03984375
0,2014-05-24 18:45:00+00:00,2.1373417,2.3025422,2.302527,32,45,84,97,0.5,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7445829,1.9902291,1.8620749,32,45,97,110,0.7166667,-0.050000004
0,2014-05-24 18:45:00+00:00,1.7499595,1.7186656,1.7375532,32,45,110,121,0.9166666,-0.050000004
0,2014-05-24 18:45:00+00:00,3.2643802,2.3266459,2.2523139,45,58,6,19,-0.78776044,0.2671875
0,2014-05-24 18:45:00+00:00,2.4658046,2.8806396,2.9786751,45,58,19,32,-0.5833333,0.275
0,2014-05-24 18:45:00+00:00,2.358268,2.7910945,2.7241385,45,58,32,45,-0.37187502,0.27734375
0,2014-05-24 18:45:00+00:00,2.1362355,2.7551951,2.477153,45,58,45,58,-0.15,0.275
0,2014-05-24 18:45:00+00:00,2.232104,2.47323,2.2257845,45,58,58,71,0.07630208,0.27421877
0,2014-05-24 18:45:00+00:00,2.0569317,1.8491457,2.126545,45,58,84,97,0.5101563,0.28671876
0,2014-05-24 18:45:00+00:00,1.8907422,1.7709327,1.7576987,45,58,97,110,0.7166667,0.275
0,2014-05-24 18:45:00+00:00,2.61508,2.774408,2.6997337,58,71,19,32,-0.5697917,0.57421875
0,2014-05-24 18:45:00+00:00,2.4780805,2.542987,2.5575361,58,71,32,45,-0.36666667,0.6
0,2014-05-24 18:45:00+00:00,2.3475149,2.5640676,2.3530073,58,71,45,58,-0.15572916,0.5835937
0,2014-05-24 18:45:00+00:00,2.2883074,2.0224988,2.3343482,58,71,71,84,0.284375,0.5972656
1,2014-05-25 17:50:00+00:00,1.5077957,1.2519737,1.5276971,19,32,84,97,0.5,-0.375
1,2014-05-25 17:50:00+00:00,1.3769561,1.1230799,1.3460455,19,32,97,110,0.7166667,-0.375
1,2014-05-25 17:50:00+00:00,1.3854364,1.1142097,1.2169269,19,32,110,121,0.9166666,-0.375
1,2014-05-25 17:50:00+00:00,1.6404147,1.9099205,1.921282,32,45,32,45,-0.36302084,-0.03359375
1,2014-05-25 17:50:00+00:00,1.5515301,2.051266,1.8063875,32,45,45,58,-0.15,-0.050000004
1,2014-05-25 17:50:00+00:00,1.8802419,1.7035952,1.5022864,32,45,58,71,0.05729167,-0.05078125
1,2014-05-25 17:50:00+00:00,1.6888909,1.5993733,1.7223467,32,45,71,84,0.27916667,-0.04414063
1,2014-05-25 17:50:00+00:00,1.3750097,1.4565358,1.4432417,32,45,84,97,0.49114585,-0.051562503
1,2014-05-25 17:50:00+00:00,1.2938359,1.3152779,1.2347276,32,45,97,110,0.7166667,-0.050000004
1,2014-05-25 17:50:00+00:00,1.3703035,1.1304715,1.1253548,32,45,110,121,0.9166666,-0.050000004
1,2014-05-25 17:50:00+00:00,1.5883125,1.8381106,1.9245797,45,58,19,32,-0.5833333,0.275
1,2014-05-25 17:50:00+00:00,1.4883579,1.6971895,1.7734607,45,58,32,45,-0.36666667,0.275
1,2014-05-25 17:50:00+00:00,1.3874615,1.8824365,1.6556817,45,58,45,58,-0.15,0.275
1,2014-05-25 17:50:00+00:00,1.4943277,1.6331235,1.383454,45,58,58,71,0.06666666,0.275
