rep,N,prep_seconds,sa_train_seconds,centroid_train_seconds,epochs,batch_size,elapsed_seconds,python,platform
0,100000,0.5062148571014404,1.9556114673614504,1.8466367721557615,15,1024,4.943949460983276,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
1,100000,0.847113847732544,2.0521798133850098,2.261445999145508,15,1024,5.984792947769165,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
2,100000,1.3998703956604004,3.702151298522949,2.3218331336975098,15,1024,10.242894411087036,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
0,10000,0.1041326522827148,0.2532737255096435,,15,1024,1.2404167652130127,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
1,10000,0.0686566829681396,0.1867597103118896,,15,1024,0.8963048458099365,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
2,10000,0.0415024757385253,0.2533376216888428,,15,1024,0.979360580444336,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
0,200000,1.2616863250732422,4.491661548614502,,15,1024,6.461625337600708,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
1,200000,1.382253646850586,4.363159418106079,,15,1024,6.436575889587402,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
2,200000,1.2077882289886477,4.808559894561768,,15,1024,6.632961273193359,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
0,50000,0.3208241462707519,0.8516786098480225,,15,1024,1.7525813579559326,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
1,50000,0.4124057292938232,1.2317068576812744,,15,1024,3.845522403717041,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
2,50000,0.2518239021301269,1.043236494064331,,15,1024,1.9208784103393557,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
