method,ce_mean,ce_sd,ce_max_mean
Centroid,0.12067727771403121,0.008101388363979454,0.4318548597317361
PostAgg,5.795179196547636e-17,5.12613530767065e-18,3.030561912531482e-16
SA-BNO,9.608802740024985e-17,5.084938070033377e-18,4.54237342184527e-16
