support,method,rmse_mean,rmse_sd
circle,Centroid,0.10282891814501993,0.006239012210566407
circle,PostAgg,0.0340166275725402,0.0006223975388057865
circle,SA-BNO,0.017376755188523167,0.0016020390583990486
large,Centroid,0.1143115148419178,0.006422200194307519
large,PostAgg,0.024919821464379266,0.0021515596499000213
large,SA-BNO,0.0129991540520845,0.001686157643719732
