method,ce_mean,ce_sd,ce_max_mean
Centroid,0.0776748940348625,0.006904072994000703,0.3452010035514831
PostAgg,3.0619205304560636e-08,5.341809820885554e-09,2.0265579223632812e-07
SA-BNO,2.9210641727672738e-08,4.2434918527082795e-09,2.0265579223632812e-07
