rep,width,method,rmse
4,0.0,Centroid,0.2767566341356482
4,0.0,PostAgg,0.2767566341356482
4,0.04,SA-BNO,0.1396639494139168
4,0.04,Centroid,0.2540114607122435
4,0.04,PostAgg,0.2576557944381022
4,0.08,SA-BNO,0.1069421919243079
4,0.08,Centroid,0.1824176318769527
4,0.08,PostAgg,0.1869948395436009
4,0.12,SA-BNO,0.0704900069007432
4,0.12,Centroid,0.1362185946654976
4,0.12,PostAgg,0.1305984600974117
4,0.16,SA-BNO,0.0502331745544424
4,0.16,Centroid,0.1380910839187399
4,0.16,PostAgg,0.090827136396614
4,0.2,SA-BNO,0.0404454204853637
4,0.2,Centroid,0.152932580550017
4,0.2,PostAgg,0.0627315487985042
4,0.24,SA-BNO,0.0360438144260376
4,0.24,Centroid,0.146386360220445
4,0.24,PostAgg,0.0564056929720079
4,0.28,SA-BNO,0.0322506827775086
4,0.28,Centroid,0.1544565035538794
4,0.28,PostAgg,0.0461961944333877
4,0.32,SA-BNO,0.0264371902444497
4,0.32,Centroid,0.1618060928386694
4,0.32,PostAgg,0.040760145481288
4,0.36,SA-BNO,0.0223108236265802
4,0.36,Centroid,0.1669760214755045
4,0.36,PostAgg,0.0338065284734288
4,0.4,SA-BNO,0.020282994711112
4,0.4,Centroid,0.1608935700160547
4,0.4,PostAgg,0.0288054469761944
5,0.0,SA-BNO,0.164709924034083
5,0.0,Centroid,0.2990044886969222
5,0.0,PostAgg,0.2990044886969222
5,0.04,SA-BNO,0.138501284101655
5,0.04,Centroid,0.249807787581242
5,0.04,PostAgg,0.2518287027793495
5,0.08,SA-BNO,0.1228582369086194
5,0.08,Centroid,0.1797476940377548
5,0.08,PostAgg,0.1904042392573419
5,0.12,SA-BNO,0.0749091395161684
5,0.12,Centroid,0.1335614026989929
5,0.12,PostAgg,0.1325871065637448
5,0.16,SA-BNO,0.050022429911308
5,0.16,Centroid,0.1257961421306783
5,0.16,PostAgg,0.0842256133707878
5,0.2,SA-BNO,0.0431979902900569
5,0.2,Centroid,0.1404223920911961
5,0.2,PostAgg,0.0693767986069915
5,0.24,SA-BNO,0.034815499223629
5,0.24,Centroid,0.1404146484599496
5,0.24,PostAgg,0.0533246088404318
5,0.28,SA-BNO,0.0337096228030969
5,0.28,Centroid,0.1402645667022563
5,0.28,PostAgg,0.0467249086144234
5,0.32,SA-BNO,0.0282949004324582
5,0.32,Centroid,0.1512278546980027
5,0.32,PostAgg,0.0421663787158024
5,0.36,SA-BNO,0.0263133269683989
5,0.36,Centroid,0.1536589652725399
5,0.36,PostAgg,0.0363118064545038
5,0.4,SA-BNO,0.020927696490649
5,0.4,Centroid,0.1403562955346919
5,0.4,PostAgg,0.0295832920465489
6,0.0,SA-BNO,0.1749256844698758
6,0.0,Centroid,0.2929299549830699
6,0.0,PostAgg,0.2929299549830699
6,0.04,SA-BNO,0.1484508085114269
6,0.04,Centroid,0.2640713231488029
6,0.04,PostAgg,0.2672310448119221
6,0.08,SA-BNO,0.1188110358983599
6,0.08,Centroid,0.1924172921012323
6,0.08,PostAgg,0.1968211712365387
6,0.12,SA-BNO,0.0846720063003296
6,0.12,Centroid,0.1493208019111745
6,0.12,PostAgg,0.1377494295768226
6,0.16,SA-BNO,0.0622044548443797
6,0.16,Centroid,0.1449854004213766
6,0.16,PostAgg,0.0871662154025652
6,0.2,SA-BNO,0.0474684570767408
6,0.2,Centroid,0.1543093862267059
6,0.2,PostAgg,0.069717707363091
6,0.24,SA-BNO,0.0408701846396014
6,0.24,Centroid,0.1576552188191948
