fold,n,rmse,mae,corr
0,90582,0.4637480668199358,0.2732244489792062,0.8774402979333379
1,83633,0.46855897997494816,0.27210962863837307,0.8660373834943965
2,90033,0.4557577012234248,0.27283698405082524,0.8776483870427686
3,87684,0.44591554404101746,0.2635824887473924,0.879174741968321
4,86037,0.458396290171868,0.27056282780577645,0.8709134041029117
